No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
229,mountain,*C̥.do:jA,dɔ:jA2,,,dɔjA1,,døyA1,dojA1,rɔ:jA1
230,stone mountain,*pra:A,pʰa:A1,pʰa:A1,pʰja:A1,pʰja:A1,pʰja:A1,pʰa:A1,,pʰra:A1
231,cave,*cramC,tʰamC1,tʰamC1,tʰamC1,tʰamC1,,,,tʰamC1
232,hole,*ru:A,ru:A2,huA2,ru:A2,ruA2,ɬu:A2,,,
233,"crack, hole",*ɟo:ŋB,cʰɔŋB2,coŋA2 -t,,,,,soŋB2,sɔ:ŋB2
234,pit,*C̬.kumA,kʰumA1,,sumA1 -i,,kʰumA1,kʰomA2,kumA2,kʰumA2
235,"well, spring",*ɓo:B,bɔ:B1,boB1,bɔ:B1,bɔB1,bo:B1,bøB1,boB1,bɔ:B1
236,mountain stream,*qrwɤjC,huəjC1,hujC2 -t,kʰuəjC1,kʰuəjC1,vu:jC1,,viC1,ri:C1
237,creek,*ro:ŋB,rɔ:ŋB2,hoŋB2,rɔ:ŋC2 -t,rɔŋB2,,loŋB1,,
238,river,*da:B,tʰa:B2,ta:B2,,d̤a:B2,ta:B2,ta:B2,taB2,tʰa:B2
239,river bank,*ʰwaŋB,faŋB1,,pʰaŋB1,,,pʰaŋB1,,vaŋB1
240,"beach, sandbar",*ha:tD,ha:tDL1,,ha:tDL1,ha:tDL1,ha:tDL1,,,ha:tDL2
241,mud,*lɤmB,lomB1,,,lumB1,lumB1,,lamB1,
242,"moon, month",*ɓlɯənA,dɯənA1,bɯənA1,bɯənA1,bɯənA1,bɤ:nA1,bunA1,dɯənA1,bliənA1
243,star (general),*t.na:wA,da:wA1,da:wA1,da:wA1,da:wA1,da:wA1,da:wA1,da:wA1,tra:wA1
244,star (in the sky),*ɗi:B,,diB1,,diB1,di:B1,doyB1,diB1,
245,moonlight,*ʰŋa:jA,ŋa:jA1,,ha:jA1,ha:jA1,ha:jA1,ha:jA1,,
246,sunshine,*C̥.dwi:tD,dɛ:tDL1,detDL1,dɛ:tDL1,dɛtDL2,de:tDL1,ditDS1,ditDS1,ri:tDL1
247,cloud,*ʰwɯəC,fa:C1,,,pʰa:C1,pʰa:C1,pʰyC1,vɯəC1,viəC1
248,fog,*ʰmo:kD,mɔ:kDL1,moʔDL1,mɔ:kDL1,mɔkDL1,mo:kDL1,mokDL1,mokDL1,mɔ:kDL1
249,wind,*C̬.lɯmA,lomA2,,lomA2,lomA2,lumA2,lomA2,rumA2,lumA2
250,"sky, heaven",*ɓɯnA,bonA1,,bonA1,bɤnA1,,bonA1,bunA1,bɯnA1
251,"sky, weather",*va:C,fa:C2,fa:C2,,fa:C2,fa:C2,,,
252,rain,*C̥.wɯnA,fonA1,,pʰɤnA1,pʰɤnA1,pʰɤnA1,pʰonA1,hunA1,vɯnA1
253,gust (of rain),*kra:B,ha:B1,,,sa:B1,ha:B1,la:B1,raB1,ra:B1
254,lightning,*m.le:pD,lɛ:pDL2,,,mjepA2,me:pDL2,,,
255,thunder,*pra:C,,,,,,,pjaC1,pʰra:C1
256,hoarfrost,*ʰmɯǝjA,,mujB2,mɯəjA1,mɯəjA1,,muyA1,,
257,"dew, mist",*C̬.nwa:jA,,,,,na:jA2,na:jA2,,
258,hail,*trepD,hepDS1,hipDS1,hopDS1,tʰepDS1,hatDS1 -f,tʰitDS1,ripDS1,
259,"steam, vapor",*s.ʔwɤ:jA,ʔajA2 -v,ʔa:jA1,ʔa:jA1,ja:jA1,ja:jA1,,θɯəjA1,so:jA1
260,shade,*rɤmB,romB2,homB2,romB2,,,,ramB2,
261,"shadow, reflection",*ŋawA,ŋawA2,homB2,ŋɤwA2,ŋɤwA2,ŋawA2,ŋawA2,ŋawA2,ŋawA2
262,dry season,*C̬.le:ŋC,lɛ:ŋC2,leŋC2,lɛ:ŋC2,lɛŋC2,le:ŋC2,leŋC2,reŋC2,
,E. Society,,,,,,,,,
263,"father, man",*bo:B,pʰɔ:B,poB,pɔ:B2,b̤ɔB2,po:B2,poC2 -t,poB2,pʰɔ:B2
264,mother; woman,*me:B,mɛ:B2,meB2,mɛ:B2,mɛB2,me:B2,meB2,meB2,me:B2
265,older sibling,*bi:B,pʰi:B2,piB2,pi:C2 -t,b̤iB2,pi:B2,,piC2 -t,pʰi:B2
266,younger sibling,*nwo:ŋC,nɔ:ŋC2,noŋC2,nɔ:ŋC2,nɔŋC2,no:ŋC2,nøŋC2,nuəŋC2,nuəŋC2
267,paternal grandfather,*pɯwB,pu:B1,puB1,pu:B1,puB1,,,,
268,maternal grandfater,*ta:A,ta:A1,ta:A1,ta:A1,ta:A1,ta:A1,ta:A1,taA1,ta:A1
269,maternal grandmother,*na:jA,ja:jA2 -i,na:jA2,na:jA2,ta:jB1 -i,ta:jA1,ta:jA1,ta:jB1 -i,ʔa:jA2 -i
270,child (offspring),*lɯ:kD,lu:kDL2,luʔDL2,lukDL2,lukDL2,lukDL2,lakDL1,lɯkDS2,lɯkDL1
271,great-grandparent,*ɟɯəC,cʰɯəC2,cɯC2,cɯəC2,zɯəC2,,,,
272,"nephew, niece, or grandchild",*ʰla:nA,la:nA1,la:nA1,la:nA1,la:nA1,la:nA1,la:nA,la:nA1,la:nA1
273,great-grandchild,*ʰlenC,le:nA1 t,linA1 -t,lɤnA1 -t,lɤnC1,,lɤnC1,,
274,parent's older brother,*luŋA,luŋA2,,luŋA2,luŋA2,luŋA2,,,luŋA2
275,parent's older sister,*pa:C,pa:C1,pa:C1,pa:C1,pa:C1,pa:C1,pa:C1,paC1,pa:C1
276,father's younger sister,*ʔa:A,ʔa:A1,ʔa:A1,ʔa:A1,Ɂa:A1,ʔa:A1,,,
277,mother's younger sibling,*na:C,na:C2,na:C2,na:C2,na:B1 -t,na:B2 t,na:B2 -t,naC2,na:C2
278,father's younger brother,*ʔa:wA,,ʔa:wA1,ʔa:wA1,Ɂa:wA1,ʔa:wB1,,ʔa:wA1,ʔa:wB2
279,wife of man's younger brother,*lɯǝwA,,,luəA2,luəA2,lu:A2,liwA2,,luəwA2
280,wife,*miəA,miəA2,miA2,miəA2,,,,,
281,son-in-law,*C̬.kɯəjA,kʰɤ:jA1,,kʰɯəjA1,kʰɯəjA1,kʰɤ:jA1,,kɯəjA2,kʰo:jA2
282,daughter-in-law,*baɰC,pʰajC2,paɰC2,pɤɰC2,b̤ɤɰC2,,,paɰC2,kʰwɤ:C2 -i
283,"person, human being",*ɢwɯnA,kʰonA2,kɯnA2,kɤnA2,g̈ɤnA2,kɤnA2,honA2,hunA2,hunA2
284,child (young person),*ɗekD,dekDS1,diŋA1 -f,diŋA1 -f,dekDS1,dikDS1,dikDS1,,
285,"man, male",*ʑa:jA,cʰa:j4,ca:jA2,ca:jA2,za:jA2,ca:jA2,,θa:jA1,sa:jA1
286,unmarried man,*ɓa:wB,ba:wB1,ba:wB1,ba:wB1,ba:wB1,ba:wB1,ba:wB1,ba:wB1,ba:wB1
287,unmarried woman,*sa:wA,sa:wA1,sa:wA1,tʰa:wA1,ɬa:wA1,ɬa:wA1,ɬa:wA1,θa:wA1,sa:wA1
288,girl,*ɓɯ:kD,,,,,,,bɯkDS1,bɯkDS1
289,lady,*na:ŋA,na:ŋA2,na:ŋA2,na:ŋA2,na:ŋA2,,,,na:ŋA2
290,ralated by marriage,*t.no:ŋA,dɔ:ŋA1,doŋA1,dɔ:ŋA1,dɔŋA1,,,doŋA1,trɔ:ŋA1
291,widowed,*ʰma:jC,ma:jC1,ma:jB2 -t,ma:jC1,ma:jC1,ma:jC1,ma:jC1,ma:jB1,ma:jC2
292,orphan,*gm̩.ra:C,pʰra:C2,pa:C2,pja:C2,b̤ja:C2,pja:C2,,,tʰra:C2
293,name,*ɟɤ:B,cʰɯ:B2,,,,,,soB2,sɔ:B2
294,"master, owner",*ɕɤwC,ca:wC1,,cɤwC1,cɤwC1,cawC1,,θuC1,su:C1
295,slave (1),*χɔ:jB,kʰɔ:jC1 -t,,kʰɔ:jC1 -t,kʰɔjC1 -t,kʰo:jC1 -t,hoyB1,hɔjB1,hɔ:jB1
296,slave (2),*kra:C,kʰa:C1,xa:C1,sa:C1,,,,,
297,Vietnamese,*ke:wA,kɛ:wA1,kewA1,kɛ:wA1,kɛwA1,ke:wA1,kewA1,cewA1,ke:wA1
298,shaman,*ʰmo:A,mɔ:A1,moA1,mɔ:A1,mɔA1,mo:A1,,moA1,mɔ:A1
299,spirit (1),*pri:A,pʰi:A1,pʰiA1,pʰi:A1,pʰi:A1,pʰi:A1,,,
300,spirit (2),*mwa:ŋA,,,,ma:ŋA2,,ma:ŋA2,fa:ŋA2,ma:ŋA2
301,soul; whorl in the hair,*qwanA,kʰwanA1,xwanA1,kʰwanA1,kʰwanA1,kʰwanA1,wanA1,vanA1,hɔnA1
302,village,*ɓa:nC,ba:nC1,ba:nC1,ba:nC1,ba:nC1,ba:nC1,ba:nC1,ba:nC2,ba:nC1
303,township,*mɯəŋA,mɯəŋA2,mɯəŋA2,mɯəŋA2,mɯəŋA2,,,,
304,debt,*ʰni:C,ni:C1,,ni:C1,ni:C1,,,niC1,
,F. Material culture,,,,,,,,,
305,liquor,*ʰlawC,lawC1,lawC1,lɤwC1,lɤwC1,lawC1,lawC1,lawC1,lawC1
306,medicine,*ˀjɯəA,ja:A1,ja:A1,ja:A1,ja:A1,ja:A1,jyA1,jiəA1,(ja:A1)
307,vinegar,*ʰmi:B,,miB1,mi:B1,miB1,mi:B1,moyB1,,
308,flour,*ɓɯəA,,bɯA1,bɯəA1,bɯəA1,bɯ:A1,,,bɯəA1
309,house,*rɤ:nA,rɯənA2,hɯənA2,rɯənA2,rɯənA2,ɬɤ:nA2,lunA2,ra:nA2,ra:nA2
310,granary,*ˀjɯǝwC,ja:wC1,,jawB1,ja:wC1,,,jiəwC2,jiəwC1
311,stake,*ʰlakD,lakDS1,,lakDS1,lakDS1,,,lakDS1,lakDS1
312,eaves,*ʑa:jA,cʰa:jA2,,ca:jA2,,,,θa:jA2,ja:jA2
313,door,*tu:A,tu:A1,tuA1,tu:A1,tuA1,tu:A1,tawA1,tuA1,tu:A1
314,"stairs, ladder",*ɗrwajA,dajA2,dajA1,dwɤjA1,dwajA1,dajA1,dajA1,lajA1,rajA1
315,pillar,*sawA,sawA1,sawA1,tʰɤwA1,ɬɤwA1,ɬawA1,ɬawA1,θawA1,
316,"partition, lid",*hwa:A,fa:A1,fa:A1,pʰa:A1,pʰa:A1,pʰa:A1,,vaA1,va:A1
317,split bamboo flooring,*wa:kD,fa:kDL2,,pʰa:kDL2,va:kDL2,,,,va:kDL2
318,window,*ta:ŋB,ta:ŋB1,ta:ŋB1,ta:ŋB1,ta:ŋC1,ta:ŋB1,,,
319,stool,*taŋB,taŋB1,taŋB1,taŋB1,taŋB1,taŋB1,taŋB1,taŋB1,taŋB1
320,tripod,*giǝŋA,kʰiǝŋA2,,kiəŋA2,g̈iəŋA2,ki:ŋA2,kʰiŋA2,ciəŋA2,kʰiəŋA2
321,board,*pe:nC,pɛnC2,penC1,,,pe:nC1,penC1,,pe:nC1
322,thing,*χɔ:ŋA,kʰɔ:ŋA1,xoŋA1,,,,høŋA1,,ho:ŋA1
323,knife,*mitD,mi:tDL2 -v,mitDS2,mitDS2,,,,mitDS2,
324,"machete, big knife",*ɟm̩.ra:C,pʰra:C2,pa:C2,pja:C2,b̤ja:C2,pja:C2,,saC2,tʰa:C2
325,chopping board,*χiəŋA,kʰiəŋA1,xiəŋA1,,,kʰi:ŋA1,hiŋA1,heŋA1,
326,spear,*kro:kD,hɔ:kDL1,,,,,,rokDL1,
327,crossbow,*ʰnwɯəC,na:C1,,na:C1,na:C1,,,nɯəC1,nuəC1
328,axe,*xwa:nA,kʰwa:nA1,xwa:nA1,kʰwa:nA1,kʰwa:nA1,,,va:nA1,va:nA1
329,chisel,*siəwB,siwB1,siwB1,tʰi:wB1,ɬiwB1,ɬi:wB1,ɬiw5,θiəwB1,si:wB1
330,hook,*xɔ:A,kʰɔ:A1,xoA1,kʰɔ:A1,,,,,hɔ:A1
331,"pliers, thongs",*gi:mA,kʰi:mA2,kimA2,ki:mA2,g̈imA2,kimA2,,cimA2,kʰi:mA2
332,handle (of a knife),*ɗa:mC,da:mC1,damB1,da:mC1,da:mC1,da:mC1,,da:mC2,da:mC1
333,"handle, rod",*galA,kʰanA2,,,,,kʰanA1,kanA2,kʰalA2
334,carrying pole (1),*tra:pD,ha:pDL1,ha:pDL1,ha:pDL1,tʰa:pDL1,ha:pDL1,tʰa:pDL1,ra:pDL1,ra:pDL1
335,carrying pole (2),*ɢa:nA,kʰa:nA2,ka:nA2,ka:nA2,,ka:nA2,ha:nA2,ha:nA2,ɣa:nA2
336,"rope, cord",*ɟɤ:k,cʰɯəkDL2,cɯʔC2,,zɯəkDL2,cɤ:kA2,sa:kDL2,sa:kB2,sa:kB2
337,top for spinning,*k.ra:ŋB,kʰa:ŋB1,,kʰa:ŋB1 -i,sa:ŋB1,ha:ŋB1,la:ŋB1,ca:ŋB1,
338,basin,*ʔa:ŋB,ʔa:ŋB1,ʔa:ŋB1,ʔa:ŋB1,,ʔa:ŋB1,,,ʔa:ŋB1
339,jug,*krajA,hajA1,hajA1,kʰajA1,,,,rajA1,hajA1
340,pot,*ʰmo:C,mɔ:C1,,mɔ:C1,mɔC1,mo:C1,møC1,moC1,mɔ:C1
341,bamboo tube,*baŋ B/C,,,baŋC1,baŋC1,,,baŋB1,baŋC2
342,bag,*croŋA,tʰuŋA1,tʰuŋA1,tʰoŋA1,tʰoŋA1,tʰuŋA1,,,tʰɔŋA1
343,walking cane,*dawC,tʰa:wC2,tawC2,tɤwC2,d̤ɤwC2,,tawC6,,
344,comb,*ʰrwɯ:jA,wi:A1,viA1,wi:A1,wiA1,vi:A1,loyA1,rojA1,hɔ:jA1
345,"writing, book",*sɯ:A,sɯ:A1,sɯA1,,ɬɯA1,ɬɯ:A1,ɬoyA1,θɯA1,sɯ:A1
346,broom,*ɲu:A,,ɲuA2,,ɲuA2,,,ŋuA2,
347,thread (1),*C̥.da:jC,da:jC1,,,,,,da:jC2,ra:jC1
348,thread (2),*ʰmajA,majA1,majA1,mɤjA1,mɤjA1,majA1,majA1,majA1,
349,hemp,*pa:nB,pa:nB1,pa:nB1,pa:nB1,pa:nB1,pa:nB1,,,
350,loom,*trukD,hu:kDL1,huʔDL1,hu:kDL1,tʰukDL1,hukDS1,tʰokDL1,rokDL1,hu:kDS2
351,shuttle of loom,*p.rawB,,,pʰjɤwB1,tʰɤwB1,,,tawB1,
352,spool,*ʰlwu:tD,lɔ:tDL1,,lɔ:tDL1,lɔtDL1,lo:tDL1,,,lu:tDL1
353,indigo (1),*g.ra:mA,kʰra:mA2,ca:mA2,ca:mA2,za:mA2,kja:mA2,,sa:mA2 -i,
354,indigo (2),*kromC,hɔmC1,homC1,sɔ:mC1,sɔmC1,,,romC1,
355,bamboo strip for tying or weaving,*b.twu:kD,tɔ:kDL1,toʔDL1,pʰjɔ:kDL1,tʰɔkDL1,pʰjo:kDL1,tʰukDL1,tukDS2,prukDS2
356,needle,*qemA,kʰemA1,ximA1,kʰomA1,kʰemA1,kʰimA1,hɤmA1,cimA1,kimA1
357,strand (of rope),*kliəwA,kliǝwA1,,,,,,cewA1,tlɛ:wA1
358,lacquer,*rakD,rakDS2,hakDS2,rakDS2,rakDS2,,,,
359,bamboo hat,*klɤpD,,,cupDS1,cupDS1,kipDS1,,capDS1,
360,"puppet, marionette",*hunB,hunB1,,,,,,hunB1,hunB1
361,"marking, patterns",*C̬.la:jA,la:jA2,la:jA2,,la:jA2,la:jA2,,ra:jA2,la:jA2
362,paddy field,*na:A,na:A2,na:A2,na:A2,na:A2,na:A2,na:A2,naA2,na:A2
363,dry field,*rɤjB,rajB2,hajB2,rɤjB2,rɤjB2,ɬajB2,loyB2,riB2,ri:B2
364,open field,*doŋB,tʰuŋB2,tuŋB2,toŋB2,d̤oŋB2,,,toŋB2,tʰɔŋB2
365,garden,*swɯ:nA,suənA1,suənA1,tʰuənA1,ɬuənA1,ɬu:nA1,ɬunA1,θɯənA1,suənA1
366,ditch,*ʰmɯəŋA,mɯəŋA1,,mɯəŋA1,mɯəŋA1,mɤ:ŋA1,myŋA1,,mɯəŋA1
367,dike between rice fields,*ɣalA,kʰanA2,,kʰanA2,g̈anA2,kanA2,hanA2,hanA2,ɣalA2
368,dam,*hwa:jA,fa:jA1,fa:jA1,pha:jA1,pʰa:jA1,pʰa:jA1,pʰa:jA1,va:jA1,
369,water pipe,*linA,,linA2,linB1 -t,linA2,,,linA2,linA2
370,plough,*crwajA,tʰajA1,tʰajA1,tʰɤjA1,tʰɤjA1,tʰajA1,tʰajA1,sajA1,tʰajA1
371,yoke,*ʔe:kD,ʔɛ:kDL1,ʔeʔDL1,ʔɛ:kDL1,ɁekDL2,ʔe:kDL1,ɁekDL1,ʔekDL1,ʔɛ:kDL1
372,part of yoke under neck,*ʔo:ŋC,,ʔoŋB2 -t,ʔoŋC1,ɁoŋC1,,,ʔoŋC2,ʔɔŋC1
373,mortar (1),*grokD,kʰrokDS2,,cokDS2,,kjukDS2,,cokDS2,
374,mortar (2),*ʰrumA,,,,,,lomA1,rumB1,
375,pestle,*sa:kD,sa:kDL1,saʔDL1,tʰa:kDL1,ɬa:kDL2,ɬa:kDL1,,θa:kDL1,sa:kDL1
376,winnowing basket,*ɗoŋC,doŋC1,doŋC1 -v,doŋC1,doŋC1,duŋC1,doŋC1,,
377,bran,*ramA,ramA2,hamA2,ramA2,ramA2,ɬamA2,lamA2,ramA2,ramA2
378,"straw, stubble",*wɯǝŋA,fa:ŋA2,fɯəŋA2 -v,pʰa:ŋA2,va:ŋA2,fa:ŋA2,fyŋA2,fɯəŋA2,viəŋA1
379,fish hook,*ɓetD,betDS1,bitDS1,bɤtDS1,betDS1,bit5,,,
380,fish net,*kre:A,hɛ:A1,heA1,kʰɛ:A1,kʰɛ1,he:A1,leA1,reA1,re:A1
381,fishtrap,*zajA,sajA2,sajA2,tʰɤjA2,rɤjA2,ɬajA2,ɬajA2,θajA2,jajA2
382,snare,*re:wC,rɛ:wC2,hewC2,rɛ:wC2,rɛwC2,,,,re:wC2
383,"gutter, trough",*rwɯəŋA,ra:ŋA2,ha:ŋA2,ra:ŋA2,ra:ŋA2,ɬa:ŋA2,,ruəŋA2,
384,cooked in bamboo tube,*ʰla:mA,la:mA1,la:mA1,la:mA1,la:mA1,la:mA1,,,
385,boat,*C̬.rwɯəA,rɯəA2,hɯA2,lɯəA2 -i,lɯəA2,lɯ:A2,luA2,ruəA2,ruəA1
386,raft,*be:A,pʰɛ:A2,peA2,pɛ:A2,b̤ɛA2,,peA2,peA2,pʰe:A2
387,road,*ʰrwɤnA,honA1,,,,,,ranA1,
388,track,*rwu:jA,rɔ:jA2,hojA2,,rɔjA2,,loyA2,riA2,ri:A2
389,saddle,*ʔa:nA,ʔa:nA1,ʔa:nA,,Ɂa:nA1,,Ɂa:nA1,ʔa:nA1,ʔa:nA1
390,drum,*klo:ŋA,klɔ:ŋA1,kuŋB1 -t,,cɔŋA1,kjo:ŋA1,køŋA1,coŋA1,tlɔ:ŋA1
,G. Adjectives,,,,,,,,,
391,red,*C̥.dwi:ŋA,dɛ:ŋA1,deŋA1,dɛ:ŋA1,dɛŋA1,de:ŋA1,dɤŋA1,diŋA1,ri:ŋA1
392,black,*C̥.damA,damA2,damA1,damA1,damA1,damA1,namA1,,ramA1
393,white,*xa:wA,kʰa:wA1,xa:wA1,kʰa:wA1,kʰa:wA1,kʰa:wA1,,ha:wA1,ha:wA1
394,green,*xiəwA,kʰiəwA1,xewA1,kʰɛ:wA1,kʰɛwA1,kʰe:wA1,hewA1,hewA1,he:wA1
395,yellow,*ʰlɯəŋA,lɯəŋA1,,lɯəŋA1,,lɤ:ŋA1,lyŋA1,,
396,dark (red),*klamB,klamB1,,,kamB1 -v,,,camB1,
397,gray,*ʰmo:ŋA,mɔ:ŋA1,,,,,møŋA1,,
398,white-spotted,*ɓla:ŋB,da:ŋB1,ba:ŋB1,bja:ŋB1,da:ŋB1,,,da:ŋB1,
399,"clear, clean",*saɰA,sajA1,saɰA1,tʰɤɰA1,ɬɤɰA1,ɬaɰA1,ɬoyA1,θaɰA1,
400,dark,*mɯ:tD,mɯ:tDL2,mutDS2,mɯ:tDL2,,,,,
401,"bright, light (n.)",*roŋB,ruŋB2,huŋB2,ruŋB2,ruŋB2,ɬuŋB2,løŋB1,roŋB2,rɔ:ŋB2 -i
402,thin (not fat),*pro:mA,pʰɔ:mA1,,,,pʰjo:mA1,pʰømA1,pjomA1,pʰrɔ:mA1
403,fat,*bwi:A,pʰi:A2,piA2,pi:A2,b̤iA2,pi:A2,poyA2,piA2,pʰu:jA2
404,long,*rɯjA,ri:A2,hiA2,ri:A2,riA2,ɬi:A2,loyA2,rajA2,rajA2
405,short (not long),*tinB,,tinC1,tɤnC1,tɤnC1,tinC1,tɤnC1 -t,tinC1,tinB1
406,big (1),*ʰluəŋA,luəŋA1,luəŋA1,luəŋA1,luəŋA1,lu:ŋA1,,,luəŋA1
407,big (2),*ɓɯ:kD,,,,,,,bɯkDS1,bɯkDS1
408,small,*no:jC,nɔ:jC2,nojC2,nɔ:jC2,,no:jC1 -t,nøyC2,,
409,"low, short (not tall)",*tamB,tamB1,tamB1,tamB1,tamB1,tamB1,tamB1,tamB1,tamB1
410,heavy,*ʰnakD,nakDS1,nakDS1,nakDS1,nakDS1,nakDS1,nakDS1,nakDS1,nakDS1
411,light (in weight),*C̥.bawA,bawA1,bawA1,bɤwA1,bɤwA1,bawA1,bawA1,bawA1,vawA1
412,thick,*ʰna:A,na:A1,na:A1,na:A1,na:A1,na:A1,na:A1,naA1,na:A1
413,thin (not thick),*C̥.ba:ŋA,ba:ŋA1,ba:ŋA1,ba:ŋA1,ba:ŋA1,ba:ŋA1,ba:ŋA1,ba:ŋA1,va:ŋA1
414,new,*ʰmɤ:lB,majB1,maɰB1,mɤɰB1,mɤɰB1,maɰB1,møB1,moB1,mɔ:B1
415,old (of living beings),*ke:B,kɛ:B1,keB1,kɛ:B1,kɛB1,ke:B1,,ceB1,ke:B1
416,old (of things),*kawB,kawB1,kawB1,,kawB1 -v,kawB1,kawB1,kawB1,kawB1
417,senior,*crawC,tʰawC1,tʰawC1,,tʰɤwC1,tʰawC1,,,tʰawC1
418,"young, soft",*ʔwu:nB,ʔɔ:nB1,ʔonB1,ʔɔ:nB1,ɁonB1,ʔo:nB1,ɁønB1,ʔunB1,ʔu:nB1
419,"raw, not ripe",*C̥.dipD,dipDS1,dipDS1,dipDS1,dipDS1,dipDS1,dipDS1,dipDS1,ripDS1
420,hard,*k.re:ŋA,kʰɛŋA1,xeŋA1,kʰɛ:ŋA1,kʰɛŋA1,kʰe:ŋA1,leŋA1,,tʰriəŋA1
421,"coarse, tough",*ʰɲa:pD,ja:pDL1,ɲa:pDL1,ɲa:pDL1,ɲa:pDL1,ja:pDL1,,ɲa:pDL1,ɲiəpDL1 -v
422,deep,*lɤkD,lɯkDS2,lɯkDS2,lɤkDS2,lɤkDS2,dakDS1 -i,lakDS2,lakDS2,lakDS2
423,loose,*ʰlo:mA,luəmA1 -v,luəmA1 -v,,,,,lomA1,
424,"tight, narrow",*gapD,kʰapDS2,kapDL2,kapDS2,g̈apDS2,kapDS2,kʰapDS2,,
425,steep,*ʰliŋB,,liŋB1,liŋB1,,liŋB1,lɤŋB1,liŋB1,
426,stuck,*ga:A,kʰa:A2,ka:A2,,g̈a:A2,,,kaA2,kʰa:A2
427,straight,*zɤ:B,sɯ:B2,sɯB2,,,ɬɯ:B2,ɬøB2,θoB2,jɔ:B2
428,crooked,*gotD2,kʰotDS2,,,,kutDS2,,,
429,hot,*rwu:lC,rɔ:nC2,honC2,,,,,,ru:lC2
430,warm,*ʔunB,ʔunB1,,ʔunB1,ɁunB1,ʔunB1,,,
431,blind,*ɓo:tD,bɔ:tDL1,botDL1,bɔ:tDL1,bɔtDL1,bo:tDL1,,botDL1,
432,night blind,*ʰwa:ŋA,fa:ŋA2,fa:ŋA2,pʰa:ŋA2,va:ŋA2,,fa:ŋA2,,
433,deaf,*ʰnuəkD,nuəkDL1,,nuəkDL1,,nu:kDL1,nukDL1,nukDS1 -v,nu:kDL1
434,bitter,*C̬.qɤmA,kʰomA1,,kʰomA1,kʰomA1,kʰumA1,hamA2,hamA2,ɣamA2
435,astringent in taste,*ʰwɯətD,fa:tDL1,fa:tDL1,pʰa:tDL1,,,fa:tDL1,vɯətDL1,viətDL1
436,sour,*sɤmC,somC1,,tʰomC1,ɬomC1,ɬumC1,ɬomC1,θamC1,samC1
437,"sweet, delicious",*C̥.wa:lA,wa:nA1,va:nA1,wa:nA1,wa:nA1,va:nA1,wa:nA1,va:nA1,va:lA1
438,insipid,*cɯ:tD,cɯ:tDL1,cutDS1 -v,cu:tDL1,cutDL1,,,,
439,core,*ke:lB,kɛnB1,kenB1,,kɛnB1,,,,ke:lB1
440,fragrant,*ho:mA,hɔ:mA1,homA1,hɔ:mA1,hɔmA1,ho:mA1,hømA1,homA1,
441,stinky,*ʰmenA,menA1,minA1,mɤnA1,menA1,,,,
442,putrid,*xwi:wA,kʰiəwA1,xiwA1,kʰwiwA1,kʰiwA1,kʰi:wA1,hiwA1,,kʰi:wA1
443,fishy,*ɣa:wA,kʰa:wA2,xa:wA2,kʰa:wA2,,,,ha:wA2,ɣa:wA2
444,empty,*plɤwB,pla:wB1,pawB1,pjɤwB1,pjɤwB1,pjawB1,,pjuB1,plu:B1
445,full,*k.temA,temA1,timA1,tɤmA1,temA1,timA1,lɤmA1 -i,rimA1,rimA1
446,deficient,*bro:ŋB,pʰrɔŋB2,,pjɔ:ŋB2,b̤jɔŋB2,pjo:ŋB2,,pjoŋB2,pʰrɔ:ŋB2
447,good,*ɗɤjA,di:A1 -v,diA1,dɤjA1,dɤjA1,dajA1,doyA1,diA1,di:A1
448,bad,*rwɤ:jC,ra:jC2,ha:jC2,ra:jC2,ra:jC2,ɬa:jC2,,rɯəjC2,ra:jC2
449,long (of time),*hɤŋA,hɯŋA1,hɯŋA1,hɤŋA1,hɤŋA1,hɤŋA1,,,
450,slow,*na:nA,na:nA2,na:nA1 -t,na:nA2,na:nA2,,,na:nA2,
451,late,*ʰla:C,la:C1,la:C1,la:C1,la:C1,la:C1,,,
452,near,*k.raɰC,klajC1,saɰC1,sɤɰC1,sɤɰC1,kʰjaɰC1,koyC1,caɰC1,tlɤ:C1
453,far,*k.lajA,klajA1,,kwɤjA1,kwɤjA1,kwajA1 -i,kajA1,cajA1,tlajA1
454,face down,*qwamC,kʰwamC1,xamC1 -w,kʰwamC1,,kʰumC1,,hamC1,ŋamC1 -i
455,face up,*ʰŋa:jA,ŋa:jA1,,ha:jA1,,,,ha:jA1,ŋa:jA1
456,sharp-pointed,*ʰle:mA,lɛ:mA1,lemA1,,,,,lemA1,
457,"sharp, sharp edge",*ɣɤmA,kʰomA2,,kʰomA2,g̈omA2,kumA2,,,ɣamA2
458,"slippery, smooth",*m.lɯ:lB,lɯ:nB2,munB2,mjɯ:nB2,,lɤ:nB1 -t,,,mlɯ:lB2
459,sticky,*ʰniəwA,niəwA1,,niəwA1,,,niwA1,niəwA1,niəwA1
460,"liquid, soft",*ʰle:wA,le:wA1,,,,li:wA1,lewA1,,lɛ:wA1
461,rotten,*nawB,nawB2,,nɤwA2,nɤwB2,,nawB2,nawB2,nawB2
462,withered,*ʰriəwB,hiəwB1,hewB1,hɛ:wB1,,he:wB1,hoy B1 -v,rewB1,hɛ:wB1 -i
