No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
52,bone,*C̥.dukD,du:kDL1,dukDS1,du:kDL1,dukDL1,dukDL1,dokDL1,dokDL1,rɔ:kDL1
53,bone marrow,*ʔwu:kD,,,ʔɔ:kDL1,ɁɔkDL1,ʔukDL1,ɁukDS1,ʔukDS1,ʔu:kDL1
54,tendon,*ˀjenA,ʔenA1,ʔinA1,ʔɤnA1,ɁiənA1,jinA2,ɲenA1,ɲinA2,ʔinA1
55,"side, ribs",*k.ra:ŋC,kʰa:ŋC1,sa:ŋC1,sa:ŋC1,ɬa:ŋC1 -i,ha:ŋC1,,,
56,blood,*lɯətD,lɯətDL2,lɯtDL2,lɯətDL2,lɯətDL2,lɤ:tDL2,lutDL2,lɯətDL2,luətDL2
57,"meat, flesh",*n.mɤ:C,nɯǝC2,,nɯəC2,,nɯ:C2,,noB2,mlɔ:B2
58,skin,*ʰnaŋA,naŋA1,,naŋA1,nangA1,naŋA1,naŋA1,naŋA1,naŋA1
59,sweat,*r.tɯəB,hɯəB1,hɯB1,hɯəB1,tʰɯəB1,hɯ:B1,tyB2,,
60,pus,*ʰno:ŋA,nɔ:ŋA1,noŋA1,nɔ:ŋA1,nɔŋA1,no:ŋA1,nøŋA1,noŋA1,nɔ:ŋA1
61,impetigo,*kritD,hitDS1,,kʰitDS1,kʰitDS1,,litDS1,,hitDS1
62,wound,*ɓa:tD,ba:tDL1,ba:tDL1,ba:tDL1,ba:tDL2,ba:t5,,ba:tDL1,ba:tDL1
63,scurf,*ɣɯjA,,,kʰɤjA2,g̈ɤjA2,,hoyA2,hiA2,ɣi:A2
64,brain,*ʔe:kD,,ʔeʔDL1,,,ʔe:kDL1,,,
65,"heart, breath",*cɤɰA,cajA,caɰA1,cɤɰA1,cɤɰA1,caɰA1,coyA1,sɯA1,cɯ:A1
66,lung,*pwɤtD,pɔ:tDL1,,pɔ:tDL1,putDS1,pɤtDS1,putDL1,putDS1,
67,intestine,*sajC,sajC1,sajC1,tʰɤjC1,ɬɤjC1,ɬajC1,ɬajC1,θajC1,sajC1
68,liver,*tapD,tapDS1,tapDS1,tapDS1,tapDS1,tapDS1,tapDS1,tapDS1,tapDS1
69,spleen,*ma:mC,ma:mC2,,ma:mC2,ma:mC2,,ma:mC2,ma:mC2,ma:mC2
70,"gall bladder, bile",*ɓli:A,di:A1,biA1,bi:A1,diA1 -i,di:A1,boyA1,diA1,bli:A1
71,"illness, fever",*k.raj,kʰaj1,sajC1,kʰɤjC1,kʰɤjC1,hajC1,,cajC1,
72,cold (n.),*q.watD,watDS1,,,watDS1,,,,vatDS1
73,epidemic,*ra:B,ha:B1 -i,,,ra:B2,,la:C1 -t,,ha:B1
74,kidney-stones,*ʰni:wC,niwC1,,,niwC1,,,niwC1,ni:wC1
,B. Animals,,,,,,,,,
75,dog,*ʰma:A,ma:A1,ma:A1,ma:A1,ma:A1,ma:A1,ma:A1,maA1,ma:A1
76,pig,*ʰmu:A,mu:A1,muA1,mu:A1,muA1,mu:A1,mawA1,muA1,mu:A1
77,"mouse, rat",*ʰnu:A,nu:A1,nuA1,nu:A1,nuA1,nu:A1,nawA1,nuA1,nu:A1
78,water buffalo,*ɣwa:jA,kʰwa:jA2,xwa:jA2,wa:jA2,wa:jA2,va:jA2,wa:jA2,va:jA2,va:jA2
79,horse,*ma:C,ma:C2,ma:C2,ma:C2,ma:C2,ma:C2,ma:C2,maC2,ma:C2
80,bear,*ʰmwɯjA,mi:A1,miA1,mi:A1,miA1,mi:A1,muyA1,mɯəjA1,mɯəjA1
81,jackal,*nwajA,najA2,,nwɤjA2,nwɤjA2,,najA1,najA2,najA2
82,elephant,*ɟa:ŋC,cʰa:ŋC2,ca:ŋC2,ca:ŋC2,za:ŋC2,ca:ŋC2,,sa:ŋC2,sa:ŋC2
83,deer,*kwɯəŋA,kwa:ŋA1,kwa:ŋA1,kwa:ŋA1,kwa:ŋA1,kwa:ŋA1,,vɯəŋA2,vuəŋA2
84,antelope,*wa:lA,fa:nA2,fa:nA2,,,,fa:nA2,fa:nA2,va:lA2
85,monkey,*li:ŋA,liŋA2,liŋA2,liŋA2,liŋA2,liŋA2,,liŋA2,li:ŋA2
86,ape,*kaŋA,kaŋA1,kaŋA1,kaŋA1,kaŋA1,kaŋA1,kaŋA1,kaŋA1,
87,flying squirrel,*ba:ŋB,ba:ŋB1,ba:ŋB1,ba:ŋB1,ba:ŋB1,,,ba:ŋB1,
88,squirrel,*ro:kD,rɔ:kDL2,hoʔDL2,rɔ:kDL2,,,,rokDL2,rɔ:kDL2
89,porcupine,*ʰmenC,menC1,,mɤnC1,menC1,minC1,mɤnC1,,manC1
90,civet cat,*ʰɲelA,henA1,hinA1,hɤnA1,henA1,hinA1,,ɲanA1,ɲɛlA1
91,otter,*na:kD,na:kDL2,naʔDL2,na:kDL2,na:kDL2,,na:kDL2,na:kDL2,na:kDL2
92,pangolin,*lilB,,,,linB2,,lɤnB2,linB2,lilB1
93,chicken,*kajB,kajB1,kajB1,kajB1 -v,kajB1 -v,kajB1,kajB1,kajB1,kajB1
94,young hen,*C̬.qɤ:ŋB,kʰɯǝŋB1,xɯəŋB1,kʰɯəŋB1,,,kʰyŋB1,,
95,duck,*pitD,petDS1 -v,pitDS1,pɤtDS1 -v,petDS1 -v,pitDS1,pitDS1,pitDS1,pitDS1
96,goose,*ha:nB,ha:nB1,hanB1,ha:nB1,ha:nB1,,,ha:nB1,ha:nB1
97,bird,*C̬.nokD,nokDS2,nukDS2,nokDS2,nokDS2,nukDS2,,rokDS2,nɔkDS2
98,crow,*ka:A,ka:A1,ka:A1,ka:A1,ka:A1,ka:A1,ka:A1,,ka:A1
99,swallow (n.),*ʔe:nB,ʔɛnB1,ʔenC1,ʔɛ:nB1,ɁɛnB1,ʔe:nB1,ɁenB1,ʔenB1,ʔe:nB1
100,owl,*gawC,kʰawC2,kawC2,kawC2,g̈awC2 -v,kawC2,kʰeŋA2,,
101,hawk,*lamB,,,lamB2,lamB2,lamB2,,,lamB2
102,fish,*pla:A,pla:A1,pa:A1,pja:A1,pja:A1,pja:A1,pa:A1,pjaA1,pla:A1
103,catfish,*C̥.dokD,dukDS1,dukDS1,dukDS1,dukDS1,,dokDS1,dukDS1,rɔkDS1 -v
104,shellfish,*ho:jA,hɔjA1,hojA1,hɔ:jA1,hɔjA1,ho:jA1,,,
105,crab,*pɯwA,pu:A1,puA1,pu:A1,puA1,pu:A1,pawA1,pawA1,pawA1
106,shrimp,*kuŋB/C,kuŋC1,kuŋC1,kuŋC1,kuŋC1,kuŋC1,koŋB,kuŋB1,kuŋC2
